ID,Answer,Question,label,is_train,product_name,product_url,rank,product_id,Question_clean,Answer_clean
prod_0001_rev_01,"Emang udah cocok sama sunscreen ini, reorder di sini berkali2. Teksturnya agak cair, dan karena itu juga terasa ringan. Nggak beraroma strong dan gak lengket. Kalau buat kulit saya juga nggak peeling (beberala kali coba sunscreen selalu peeling). Tapi kalau untuk base make up full coverage kurang tau, belum pernah make untuk itu.

Seperti biasa, pelayanan, dan kecepatan Belia dan kurir tidak perlu diragukan lagi. Sudah order di sini berkali2 dan sangat cepat (dom Jawa Timur, 2 hari sampai).",Apakah tekstur sunscreen ini ringan?,1,1,❤ BELIA ❤ SKIN AQUA Sunscreen Moisture Whitening Milk | Protection against UV-A and UV-B,https://shopee.co.id/%E2%9D%A4-BELIA-%E2%9D%A4-SKIN-AQUA-Sunscreen-Moisture-Whitening-Milk-Protection-against-UV-A-and-UV-B-i.48382819.29061392236?extraParams=%7B%22display_model_id%22%3A99645433421%2C%22model_selection_logic%22%3A3%7D,1,prod_0001,apakah tekstur sunscreen ini ringan,emang udah cocok sama sunscreen ini reorder di sini berkali2 teksturnya agak cair dan karena itu juga terasa ringan nggak beraroma strong dan tidak lengket kalau buat kulit saya juga nggak peeling beberapa kali coba sunscreen selalu peeling tapi kalau untuk base make up full coverage kurang tau belum pernah make untuk itu seperti biasa pelayanan dan kecepatan belia dan kurir tidak perlu diragukan lagi sudah order di sini berkali2 dan sangat cepat dom jawa timur 2 hari sampai
prod_0001_rev_02,"paketnya sampe kemaren dan baru sempet kasi penilaian sekarang. tadi pagi udah dicoba dan ngerasa cocok banget. sunscreen nya ringan, ini kayaknya memang cocok sama kulit sensitive, sesuailah sama claimnya. packingnya rapi dan aman banget. padahal cuma beli 1. maaci seller",Apakah tekstur sunscreen ini ringan?,1,1,❤ BELIA ❤ SKIN AQUA Sunscreen Moisture Whitening Milk | Protection against UV-A and UV-B,https://shopee.co.id/%E2%9D%A4-BELIA-%E2%9D%A4-SKIN-AQUA-Sunscreen-Moisture-Whitening-Milk-Protection-against-UV-A-and-UV-B-i.48382819.29061392236?extraParams=%7B%22display_model_id%22%3A99645433421%2C%22model_selection_logic%22%3A3%7D,2,prod_0001,apakah tekstur sunscreen ini ringan,paketnya sampe kemaren dan baru sempet kasi penilaian sekarang tadi pagi udah dicoba dan ngerasa cocok banget sunscreen nya ringan ini kayaknya memang cocok sama kulit sensitive sesuailah sama claimnya packingnya rapi dan aman banget padahal cuma beli 1 terima kasih seller
prod_0001_rev_03,"Udah kesekian kali belanja di toko ini. Keren banget emang. Amanah pula. Barang sesuai orderan dan dibungkus bubble wrap tebal, packingan rapi. Aman banget jadinya. Seller juga gercep, pengiriman cepat banget. Makasih ya seller...",Apakah tekstur sunscreen ini ringan?,0,1,❤ BELIA ❤ SKIN AQUA Sunscreen Moisture Whitening Milk | Protection against UV-A and UV-B,https://shopee.co.id/%E2%9D%A4-BELIA-%E2%9D%A4-SKIN-AQUA-Sunscreen-Moisture-Whitening-Milk-Protection-against-UV-A-and-UV-B-i.48382819.29061392236?extraParams=%7B%22display_model_id%22%3A99645433421%2C%22model_selection_logic%22%3A3%7D,8,prod_0001,apakah tekstur sunscreen ini ringan,udah kesekian kali belanja di toko ini keren banget emang amanah pula barang sesuai orderan dan dibungkus bubble wrap tebal packingan rapi aman banget jadinya seller juga gerak cepat pengiriman cepat banget terima kasih ya seller
prod_0001_rev_04,"Cepet bgt sampenya, padahal baru kemaren check out, pengemasan sangat aman dan safety, ini udah kedua kalinya pake sunscreen skin aqua, sunscreen berkualitas tapi masih terjangkau, dan ga ada white cast nya, sukaa polll",Apakah tekstur sunscreen ini ringan?,0,1,❤ BELIA ❤ SKIN AQUA Sunscreen Moisture Whitening Milk | Protection against UV-A and UV-B,https://shopee.co.id/%E2%9D%A4-BELIA-%E2%9D%A4-SKIN-AQUA-Sunscreen-Moisture-Whitening-Milk-Protection-against-UV-A-and-UV-B-i.48382819.29061392236?extraParams=%7B%22display_model_id%22%3A99645433421%2C%22model_selection_logic%22%3A3%7D,5,prod_0001,apakah tekstur sunscreen ini ringan,cepet banget sampenya padahal baru kemaren check out pengemasan sangat aman dan safety ini udah kedua kalinya pake sunscreen skin aqua sunscreen berkualitas tapi masih terjangkau dan tidak ada white cast nya sukaa banget
prod_0001_rev_05,"dulu pake skin aqua yg biru, skrg coba yg putih. Alhamdulillah cocok di kulit akuu, tp untuk manfaat e blm keliatan sii ktane lebih cerah. cocok sesuai pesanan. cuss bakal beli disini lg klo abis. lovv admin💗",Apakah tekstur sunscreen ini ringan?,0,1,❤ BELIA ❤ SKIN AQUA Sunscreen Moisture Whitening Milk | Protection against UV-A and UV-B,https://shopee.co.id/%E2%9D%A4-BELIA-%E2%9D%A4-SKIN-AQUA-Sunscreen-Moisture-Whitening-Milk-Protection-against-UV-A-and-UV-B-i.48382819.29061392236?extraParams=%7B%22display_model_id%22%3A99645433421%2C%22model_selection_logic%22%3A3%7D,6,prod_0001,apakah tekstur sunscreen ini ringan,dulu pake skin aqua yang biru sekarang coba yang putih alhamdulillah cocok di kulit aku tapi untuk manfaat e belum keliatan si katanya lebih cerah cocok sesuai pesanan cuss bakal beli disini lagi kalau abis love admin
prod_0001_rev_06,"alhamdulillah barang sudah sampai dengan selamat. Over all bagus dan sesuai dengan harga dan bahkan terbilang sangat2 affordable, adminnya responsif, thankyou so much, moga dagangannya lancar..",Apakah tekstur sunscreen ini ringan?,0,1,❤ BELIA ❤ SKIN AQUA Sunscreen Moisture Whitening Milk | Protection against UV-A and UV-B,https://shopee.co.id/%E2%9D%A4-BELIA-%E2%9D%A4-SKIN-AQUA-Sunscreen-Moisture-Whitening-Milk-Protection-against-UV-A-and-UV-B-i.48382819.29061392236?extraParams=%7B%22display_model_id%22%3A99645433421%2C%22model_selection_logic%22%3A3%7D,10,prod_0001,apakah tekstur sunscreen ini ringan,alhamdulillah barang sudah sampai dengan selamat over all bagus dan sesuai dengan harga dan bahkan terbilang sangat2 affordable adminnya responsif thankyou so much moga dagangannya lancar
prod_0001_rev_07,Pesanan sudah sampai dalam keadaan baik. Waktu pengemasan dan pengiriman cepat. Pengemasan rapi dan aman. Produk original sesuai deskripsi. Harga relatif terjangkau. Terima kasih.,Apakah tekstur sunscreen ini ringan?,0,1,❤ BELIA ❤ SKIN AQUA Sunscreen Moisture Whitening Milk | Protection against UV-A and UV-B,https://shopee.co.id/%E2%9D%A4-BELIA-%E2%9D%A4-SKIN-AQUA-Sunscreen-Moisture-Whitening-Milk-Protection-against-UV-A-and-UV-B-i.48382819.29061392236?extraParams=%7B%22display_model_id%22%3A99645433421%2C%22model_selection_logic%22%3A3%7D,9,prod_0001,apakah tekstur sunscreen ini ringan,pesanan sudah sampai dalam keadaan baik waktu pengemasan dan pengiriman cepat pengemasan rapi dan aman produk original sesuai deskripsi harga relatif terjangkau terima kasih
prod_0001_rev_08,"Udah cinta sekali dengan produk satu ini, dapat potongan banyak beli disini, pengiriman cepat, texturnya ringan , kulit lebih terlihat cerah  tidak kusam sama sekali",Apakah tekstur sunscreen ini ringan?,1,1,❤ BELIA ❤ SKIN AQUA Sunscreen Moisture Whitening Milk | Protection against UV-A and UV-B,https://shopee.co.id/%E2%9D%A4-BELIA-%E2%9D%A4-SKIN-AQUA-Sunscreen-Moisture-Whitening-Milk-Protection-against-UV-A-and-UV-B-i.48382819.29061392236?extraParams=%7B%22display_model_id%22%3A99645433421%2C%22model_selection_logic%22%3A3%7D,3,prod_0001,apakah tekstur sunscreen ini ringan,udah cinta sekali dengan produk satu ini dapat potongan banyak beli disini pengiriman cepat texturnya ringan kulit lebih terlihat cerah tidak kusam sama sekali
prod_0001_rev_09,"Barang udah sampe dan packaging aman
Udah beli berkali-kali karena emang cocok
Produk mudah nyerap di kulit, nggak kerasa berat di wajah
Thanks seller dan kurir",Apakah tekstur sunscreen ini ringan?,1,1,❤ BELIA ❤ SKIN AQUA Sunscreen Moisture Whitening Milk | Protection against UV-A and UV-B,https://shopee.co.id/%E2%9D%A4-BELIA-%E2%9D%A4-SKIN-AQUA-Sunscreen-Moisture-Whitening-Milk-Protection-against-UV-A-and-UV-B-i.48382819.29061392236?extraParams=%7B%22display_model_id%22%3A99645433421%2C%22model_selection_logic%22%3A3%7D,4,prod_0001,apakah tekstur sunscreen ini ringan,barang udah sampe dan packaging aman udah beli berkalikali karena emang cocok produk mudah nyerap di kulit nggak kerasa berat di wajah thanks seller dan kurir
prod_0001_rev_10,"kulitku yang sensitif cocok banget, setelah beberapa kali nyari ss yng cocok yang gabikin kusam akhirnya  nemu inii cocok banget. Pemakain yg ketiga kali.",Apakah tekstur sunscreen ini ringan?,0,1,❤ BELIA ❤ SKIN AQUA Sunscreen Moisture Whitening Milk | Protection against UV-A and UV-B,https://shopee.co.id/%E2%9D%A4-BELIA-%E2%9D%A4-SKIN-AQUA-Sunscreen-Moisture-Whitening-Milk-Protection-against-UV-A-and-UV-B-i.48382819.29061392236?extraParams=%7B%22display_model_id%22%3A99645433421%2C%22model_selection_logic%22%3A3%7D,7,prod_0001,apakah tekstur sunscreen ini ringan,kulitku yang sensitif cocok banget setelah beberapa kali nyari ss yng cocok yang gabikin kusam akhirnya nemu inii cocok banget pemakain yang ketiga kali
